Samples,MLS23S,RRSA,O23S,A16S,TET16S,LMRD,ANT6,TETW,TUFAB,TET40,RRSH,BEXA,RPOC,TETQ,VANRD,RPOB,MSRD,TETO,MEFA,MEFE,ERMG,LNUA,VANSD,VANHD,TET32,EMEA,VANYD,VAND,YYBT,FOLP,GYRA,ANT9,EFRA
GWP_16P_S126_L007,23.35529344,20.85217123,22.41770124,12.50633867,14.67570532,0,1.234368614,0.348371611,0,0.365205292,0,0,0,0.625115414,0.82931382,0,0,0.696743221,0,0,0,0,0.972765405,0.478376955,0,0,0.642529772,0,0,0,0,0,0
GWP_17P_S127_L007,24.04464542,21.20388961,27.22199507,9.62618756,15.24293727,0,0.27374943,0,0,0,0,0.641461502,0,1.158360905,0.339543284,0,0,0.247229954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_18P_S128_L007,30.87013605,17.2872697,30.26862714,7.752870323,11.1070173,0,0,0,0,0,0,0.368847966,0,0.408145786,0.562295268,0,0,0,0.133470657,0,0,0,0.485875121,0.43806388,0,0,0,0.317380808,0,0,0,0,0
GWP_1P_S123_L007,20.9463418,29.18269969,23.77537076,17.89599669,7.220363096,0,0.619384515,0,0,0.359843449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_2P_S124_L007,20.50606733,24.84312581,22.53808015,12.62803835,6.523636682,0,1.749443734,8.518079574,0,1.188223829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996065757,0,0,0,0,0,0,0.509238784,0
GWP_3P_S125_L007,23.50092135,28.00284854,20.78782433,14.35062483,10.51111142,0,0.718319898,1.621831644,0,0,0,0.506517991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_25P_S132_L007,23.84770275,21.90825867,20.27571213,13.13304178,17.67802581,0,0.542645561,0,0,0.50091385,0,0,0,1.123665122,0.807680173,0,0,0,0,0,0,0,0,0,0,0,0,0.182354148,0,0,0,0,0
GWP26_S46_L001,23.16689274,25.70576414,28.11968186,13.53881116,6.692068792,0,0,0,0,0.872623221,0,0,0,0,1.016187842,0,0,0.400785544,0,0,0,0,0,0.487184706,0,0,0,0,0,0,0,0,0
GWP_27P_S133_L007,26.10902402,38.90861751,0,32.42320177,0,0,2.559156695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_4P_S129_L007,29.50998417,19.71604163,20.46392271,16.30519294,11.00777815,0,0.53084388,0.527360217,0,0.980039536,0,0,0,0,0,0,0,0.958836758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_5P_S130_L007,30.54987046,25.44386213,26.18720208,11.59900099,4.571132871,0,0.890309249,0,0,0.75862223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_6P_S131_L007,23.61503533,32.5559733,26.63704569,14.17002498,0,0,0.965681716,0.713561972,0,0.748042035,0,0,0,0,0,0,0,0.594634977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_10P_S140_L007,52.43926232,14.32477659,9.017522066,10.65368337,4.314357469,4.916426358,0.677594625,0.691772556,0,0.251030676,0,1.006737608,0,0.245344688,0,0,0.680432023,0,0.520423213,0,0.260636442,0,0,0,0,0,0,0,0,0,0,0,0
GWP_11P_S141_L007,60.13654135,9.322899778,5.355072562,13.68561301,4.450767936,6.712176298,0.109199987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135166164,0,0,0.047888917,0,0,0,0.044673999
GWP_12P_S142_L007,21.46734764,23.23143807,19.09022478,5.371239313,12.86502336,15.78593113,0.318831597,0.39078221,0.57878349,0,0,0.207527774,0,0,0,0,0,0,0,0,0.214909228,0,0,0,0,0,0,0,0.129834198,0.174511992,0.173615219,0,0
GWP_19P_S143_L007,17.93294129,18.20263987,30.35621281,23.72034657,6.556041669,2.659336819,0.222069021,0,0,0.350411941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_20P_S144_L007,37.49980187,20.72354819,16.9235241,6.289700993,6.766889338,9.110055894,0,0,1.335007058,0.366024117,0,0,0.572639796,0,0,0.412808636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_21P_S145_L007,57.67808952,10.75554635,20.88790408,4.528259562,4.107971722,1.430398309,0.135727874,0,0.283348989,0.192753591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_13P_S146_L007,48.86999875,13.47234168,9.782234782,15.9537709,4.808143312,4.67893102,0.631362867,0.300105047,0,0.188763863,0,0.529915218,0,0,0,0,0.236148234,0,0.293501269,0,0.25478306,0,0,0,0,0,0,0,0,0,0,0,0
GWP_14P_S147_L007,50.89371845,17.53262384,14.97092541,5.045705456,5.833405067,3.788417276,0.604873347,0,0,0.429504661,0,0.416872171,0,0,0,0,0.316071113,0,0,0,0.167883215,0,0,0,0,0,0,0,0,0,0,0,0
GWP_15P_S148_L007,57.53116873,10.14088396,6.604779711,14.63075298,3.891980508,6.035114093,0.341037015,0.184799432,0,0.174356221,0,0.2219813,0,0,0,0,0,0,0.144586353,0,0,0,0,0,0.098559697,0,0,0,0,0,0,0,0
GWP_34P_S149_L007,53.33832892,14.16605814,9.626318385,5.255397467,7.709744938,5.034539641,1.913988517,0,1.462953402,0,0,0,0.626350532,0,0,0.540430809,0,0,0,0.325889247,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_35P_S150_L007,30.96080583,20.19895806,12.90611338,6.527275049,11.55297561,5.908567277,0.661195779,0,1.080257676,0,6.738183147,0.618661084,0.462502749,0,0,0,0,0,0,1.336886054,0,1.047618311,0,0,0,0,0,0,0,0,0,0,0
GWP_36P_S151_L007,65.62003503,10.74966306,6.95544948,2.666827243,5.669497858,6.680326035,0,0,0.586530402,0,0,0,0.362218392,0,0,0.345417017,0,0,0,0.158371167,0,0.165471629,0,0,0,0,0,0,0,0.040192683,0,0,0
